q_index,x0_y0,x0_y1,x0_y2,x0_y3,x0_y4,x0_y5,x0_y6,x0_y7,x0_y8,x0_y9,x0_y10,x0_y11,x0_y12,x0_y13,x0_y14,x0_y15,x0_y16,x0_y17,x0_y18,x0_y19,x0_y20,x0_y21,x0_y22,x1_y1,x1_y2,x1_y3,x1_y4,x1_y5,x1_y6,x1_y7,x1_y8,x1_y9,x1_y10,x1_y11,x1_y12,x1_y13,x1_y14,x1_y15,x1_y16,x1_y17,x1_y18,x1_y19,x1_y20,x1_y21,x1_y22,x2_y2,x2_y3,x2_y4,x2_y5,x2_y6,x2_y7,x2_y8,x2_y9,x2_y10,x2_y11,x2_y12,x2_y13,x2_y14,x2_y15,x2_y16,x2_y17,x2_y18,x2_y19,x2_y20,x2_y21,x2_y22,x3_y3,x3_y4,x3_y5,x3_y6,x3_y7,x3_y8,x3_y9,x3_y10,x3_y11,x3_y12,x3_y13,x3_y14,x3_y15,x3_y16,x3_y17,x3_y18,x3_y19,x3_y20,x3_y21,x3_y22,x4_y4,x4_y5,x4_y6,x4_y7,x4_y8,x4_y9,x4_y10,x4_y11,x4_y12,x4_y13,x4_y14,x4_y15,x4_y16,x4_y17,x4_y18,x4_y19,x4_y20,x4_y21,x4_y22,x5_y5,x5_y6,x5_y7,x5_y8,x5_y9,x5_y10,x5_y11,x5_y12,x5_y13,x5_y14,x5_y15,x5_y16,x5_y17,x5_y18,x5_y19,x5_y20,x5_y21,x5_y22,x6_y6,x6_y7,x6_y8,x6_y9,x6_y10,x6_y11,x6_y12,x6_y13,x6_y14,x6_y15,x6_y16,x6_y17,x6_y18,x6_y19,x6_y20,x6_y21,x6_y22,x7_y7,x7_y8,x7_y9,x7_y10,x7_y11,x7_y12,x7_y13,x7_y14,x7_y15,x7_y16,x7_y17,x7_y18,x7_y19,x7_y20,x7_y21,x7_y22,x8_y8,x8_y9,x8_y10,x8_y11,x8_y12,x8_y13,x8_y14,x8_y15,x8_y16,x8_y17,x8_y18,x8_y19,x8_y20,x8_y21,x8_y22,x9_y9,x9_y10,x9_y11,x9_y12,x9_y13,x9_y14,x9_y15,x9_y16,x9_y17,x9_y18,x9_y19,x9_y20,x9_y21,x9_y22,x10_y10,x10_y11,x10_y12,x10_y13,x10_y14,x10_y15,x10_y16,x10_y17,x10_y18,x10_y19,x10_y20,x10_y21,x10_y22,x11_y11,x11_y12,x11_y13,x11_y14,x11_y15,x11_y16,x11_y17,x11_y18,x11_y19,x11_y20,x11_y21,x11_y22,x12_y12,x12_y13,x12_y14,x12_y15,x12_y16,x12_y17,x12_y18,x12_y19,x12_y20,x12_y21,x12_y22,x13_y13,x13_y14,x13_y15,x13_y16,x13_y17,x13_y18,x13_y19,x13_y20,x13_y21,x13_y22,x14_y14,x14_y15,x14_y16,x14_y17,x14_y18,x14_y19,x14_y20,x14_y21,x14_y22,x15_y15,x15_y16,x15_y17,x15_y18,x15_y19,x15_y20,x15_y21,x15_y22,x16_y16,x16_y17,x16_y18,x16_y19,x16_y20,x16_y21,x16_y22,x17_y17,x17_y18,x17_y19,x17_y20,x17_y21,x17_y22,x18_y18,x18_y19,x18_y20,x18_y21,x18_y22,x19_y19,x19_y20,x19_y21,x19_y22,x20_y20,x20_y21,x20_y22,x21_y21,x21_y22,x22_y22
10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,4,0,20,0,0,4,4,0,0,0,0,0,0,0,2,0,0,0,4,0,12,8,0,0,0,0,0,16,0,14,8,0,0,0,32,0,52,40,0,0,8,16,8,20,0,0,0,0,12,0,32,0,0,16,8,0,0,0,4,2,0,0,0,44,0,8,20,0,0,0,16,8,4,0,0,0,28,0,28,16,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,8,0,0,0,56,0,72,64,0,0,32,56,32,64,0,0,24,24,0,0,0,64,120,0,0,16,48,32,48,0,0,32,48,16,0,0,0,0,0,0,0,0,0,0,8,8,16,8,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,12,0,0,0,0,0,0,72,48,0,0,0,48,0,24,0,0,0,0,24,0,48,0,0,24,24,0,0,0,0,24,0,0,0,24,0,0,24,0,0,0,24,0,0,0,0,0,24,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,144,0,96,96,0,0,24,48,24,96,0,0,0,0,0,0,0,48,96,0,0,48,0,48,48,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,128,0,0,0,256,0,0,256,0,64
13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,16,0,0,0,0,0,0,0,32,0,0,0,0,0,48,0,0,0,0,0,0,64,0,0,16,0,0,0,0,0,48,0,0,0,0,0,64,0,0,0,0,0,0,16,0,0,0,32,0,0,32,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,0,176,0,128,32,0,0,16,0,0,64,0,0,64,32,0,0,0,128,32,0,0,128,32,0,96,0,0,0,64,32,0,0,0,0,0,0,0,0,0,16,32,0,32,0,16
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,64,0,0,0,0,128,0,0,256,0,0,128,0,0,384,0,0,0,0,0,0,0,512,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,32,0,0,0,0,0,0,0,0,64,128,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,96,0,32,0,0,0,0,0,0,0,0,0,64,0,32,8,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,192,192,0,0,0,0,0,128,0,0,0,0,0,80,0,0,0,0,64,0,0,0,16,0,64,128,0,16
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,4,0,0,0,0,0,0,24,0,0,4,8,0,0,0,0,4,0,2,1,0,0,0,4,0,0,4,0,0,2,6,0,18,0,6,14,0,0,0,32,0,44,44,0,0,12,32,12,4,0,0,0,0,16,0,40,0,0,12,12,0,0,0,2,4,0,0,0,16,0,12,28,0,0,12,4,4,2,0,0,0,16,0,36,20,0,0,0,16,4,4,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,4,0,28,0,0,0,0,0,0,0,100,0,96,120,0,0,16,24,8,64,0,0,24,24,0,0,0,64,64,0,0,24,48,24,64,0,0,32,48,16,0,0,0,0,0,0,0,0,0,4,8,4,16,8,4
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,8,0,0,16,8,0,0,0,2,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,40,0,16,16,0,0,0,16,0,16,48,0,0,32,32,16,16,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,16,0,32,0,0,0,0,0,0,8,0,0,0,32,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,24,24,0,0,0,64,0,160,128,0,0,48,96,48,96,0,0,0,0,0,0,0,64,128,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,8,0,0,0,0,0,0,32,0,0,16,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,8,16,0,0,0,48,0,64,16,0,0,16,0,16,12,0,0,0,0,16,0,32,0,0,16,8,0,0,0,8,0,0,0,0,16,0,16,32,0,0,16,0,0,4,0,0,0,16,0,32,16,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,8,0,48,0,0,16,16,0,0,0,56,0,128,128,0,0,40,80,48,48,0,0,0,0,0,0,0,128,16,0,0,0,48,0,112,0,0,16,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,72,0,0,0,0,0,0,64,0,0,16,0,0,0,0,16,0,0,0,0,32,0,0,32,0,0,16,16,0,40,0,0,0,0,0,32,64,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,8,0,0,0,0,160,0,64,0,0,0,32,0,0,160,0,0,32,16,0,0,0,192,32,0,0,64,32,0,160,0,0,0,32,32,40,0,0,0,0,32,0,0,0,48,0,0,64,0,32
20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,0,0,0,0,12,0,0,0,72,0,24,24,0,0,24,24,24,0,0,0,0,0,12,0,36,0,0,12,0,0,0,0,0,6,0,0,0,0,0,36,24,0,0,12,0,24,0,0,0,0,12,0,24,36,0,0,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,48,0,120,84,0,0,12,12,12,72,0,0,24,12,0,0,0,72,72,0,0,0,24,24,72,0,0,36,24,12,0,36,0,0,0,0,0,0,0,0,36,0,0,36,0
21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,32,0,48,80,0,0,16,32,0,16,0,0,0,0,16,0,32,0,0,0,16,0,0,0,0,0,0,0,0,32,0,16,32,0,0,0,16,0,0,0,0,0,64,0,32,16,0,0,16,16,0,2,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,56,0,48,64,0,0,24,64,8,64,0,0,16,32,0,0,0,64,64,0,0,16,32,16,96,0,0,32,64,0,32,0,0,0,0,40,0,0,0,16,0,24,80,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,8,0,30,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,12,0,4,4,0,0,4,4,4,14,0,4,8,0,0,0,44,0,52,60,0,0,8,24,12,20,0,0,0,0,12,0,40,0,0,8,12,0,0,0,2,4,0,0,0,20,0,28,16,0,0,0,16,0,2,0,0,0,28,0,8,20,0,0,4,4,12,2,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,4,0,18,0,0,10,6,0,0,0,80,0,72,84,0,0,28,52,28,96,0,0,12,12,0,0,0,80,96,0,0,24,24,16,88,0,0,4,40,20,0,0,0,0,0,0,0,0,0,0,4,0,8,4,8
23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,12,0,24,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,12,4,8,0,16,0,0,0,0,56,0,40,48,0,0,24,32,16,24,0,0,0,0,8,0,72,0,0,8,12,0,0,0,8,6,0,0,0,8,0,32,16,0,0,8,4,8,8,0,0,0,0,0,16,24,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,16,0,28,0,0,0,0,0,0,0,132,0,104,104,0,0,8,32,20,48,0,0,8,16,0,0,0,72,48,0,0,8,40,8,80,0,0,0,32,40,0,0,0,0,0,0,0,0,0,4,0,0,8,8,4
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,24,0,0,0,0,0,0,48,0,48,48,0,0,0,96,48,120,0,0,0,0,0,0,48,0,0,0,0,0,0,0,24,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,24,0,0,0,144,0,96,96,0,0,0,96,48,144,0,0,0,0,0,0,0,192,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,96,12,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,192,0,0,0,0,0,192,0,0,0,0,0,24,0,0,0,0,48,0,0,0,0,0,0,96,0,48
